Index,Name,Distance,Mass,Radius,Gravity
8,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.14850276279157 m/s2
9,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.13359189999999999,175.9355381478787 m/s2
31,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999,263.90330722181807 m/s2
38,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.407579076671 m/s2
44,2MASS J04433764+0002040,82.0,0.021000936,0.18291813999999998,172.04486250521114 m/s2
48,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181293999999997,273.22482360446935 m/s2
52,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998,348.9625632998684 m/s2
78,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582999999998,336.49961461058746 m/s2
105,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.13564716,298.6279580305046 m/s2
144,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,308.16153675250763 m/s2
149,2MASSW J2244316+204343,56.0,0.011455056,0.13256426999999998,178.67379332366744 m/s2
150,2MASS J23224684-3133231,56.0,0.022910112,0.14284056999999997,307.7801971636199 m/s2
